Referencia,Referencia_yyyymm,Indice
jan/1965,196501,0.0027878
fev/1965,196502,0.0027878
mar/1965,196503,0.0027878
abr/1965,196504,0.0023511
mai/1965,196505,0.0023511
jun/1965,196506,0.0023511
jul/1965,196507,0.0020725
ago/1965,196508,0.0020725
set/1965,196509,0.0020064
out/1965,196510,0.0019816
nov/1965,196511,0.0019636
dez/1965,196512,0.0019326
jan/1966,196601,0.0018972
fev/1966,196602,0.0018479
mar/1966,196603,0.0018216
abr/1966,196604,0.0017903
mai/1966,196605,0.0017232
jun/1966,196606,0.0016501
jul/1966,196607,0.0015853
ago/1966,196608,0.0015421
set/1966,196609,0.001499
out/1966,196610,0.0014579
nov/1966,196611,0.0014198
dez/1966,196612,0.001389
jan/1967,196701,0.0013559
fev/1967,196702,1.3248975
mar/1967,196703,1.2976144
abr/1967,196704,1.278655
mai/1967,196705,1.2597391
jun/1967,196706,1.2374724
jul/1967,196707,1.2034402
ago/1967,196708,1.173847
set/1967,196709,1.1561857
out/1967,196710,1.1506962
nov/1967,196711,1.1427661
dez/1967,196712,1.1268259
jan/1968,196801,1.1062527
fev/1968,196802,1.0871655
mar/1968,196803,1.0716353
abr/1968,196804,1.0561873
mai/1968,196805,1.0367245
jun/1968,196806,1.0098096
jul/1968,196807,0.981803
ago/1968,196808,0.9602574
set/1968,196809,0.943013
out/1968,196810,0.9299314
nov/1968,196811,0.9161402
dez/1968,196812,0.9014614
jan/1969,196901,0.8845051
fev/1969,196902,0.8686539
mar/1969,196903,0.8535914
abr/1969,196904,0.8417325
mai/1969,196905,0.828889
jun/1969,196906,0.8187653
jul/1969,196907,0.8078472
ago/1969,196908,0.8022932
set/1969,196909,0.7964123
out/1969,196910,0.7892299
nov/1969,196911,0.7765848
dez/1969,196912,0.7606492
jan/1970,197001,0.743945
fev/1970,197002,0.7276233
mar/1970,197003,0.713291
abr/1970,197004,0.705307
mai/1970,197005,0.6988928
jun/1970,197006,0.6924411
jul/1970,197007,0.6819501
ago/1970,197008,0.6759514
set/1970,197009,0.6696298
out/1970,197010,0.6617533
nov/1970,197011,0.6494757
dez/1970,197012,0.6359716
jan/1971,197101,0.6237589
fev/1971,197102,0.6124821
mar/1971,197103,0.6044914
abr/1971,197104,0.5985195
mai/1971,197105,0.5916635
jun/1971,197106,0.5833382
jul/1971,197107,0.5720054
ago/1971,197108,0.5608052
set/1971,197109,0.5492693
out/1971,197110,0.5375548
nov/1971,197111,0.5269456
dez/1971,197112,0.518448
jan/1972,197201,0.5121274
fev/1972,197202,0.5060404
mar/1972,197203,0.4993826
abr/1972,197204,0.4937488
mai/1972,197205,0.4872574
jun/1972,197206,0.4791801
jul/1972,197207,0.4707312
ago/1972,197208,0.4640753
set/1972,197209,0.460212
out/1972,197210,0.456941
nov/1972,197211,0.4526084
dez/1972,197212,0.4496367
jan/1973,197301,0.4445617
fev/1973,197302,0.4402133
mar/1973,197303,0.435648
abr/1973,197304,0.4304694
mai/1973,197305,0.4255852
jun/1973,197306,0.4202479
jul/1973,197307,0.415647
ago/1973,197308,0.4119515
set/1973,197309,0.4085329
out/1973,197310,0.4045987
nov/1973,197311,0.4018632
dez/1973,197312,0.3984582
jan/1974,197401,0.390797
fev/1974,197402,0.3867202
mar/1974,197403,0.3810144
abr/1974,197404,0.3762812
mai/1974,197405,0.3702241
jun/1974,197406,0.3625139
jul/1974,197407,0.3508472
ago/1974,197408,0.3360649
set/1974,197409,0.3207698
out/1974,197410,0.3091854
nov/1974,197411,0.3026517
dez/1974,197412,0.2988904
jan/1975,197501,0.2951108
fev/1975,197502,0.2907004
mar/1975,197503,0.2859511
abr/1975,197504,0.280678
mai/1975,197505,0.2751854
jun/1975,197506,0.2689836
jul/1975,197507,0.2641581
ago/1975,197508,0.2597151
set/1975,197509,0.255731
out/1975,197510,0.2506449
nov/1975,197511,0.2453166
dez/1975,197512,0.2406327
jan/1976,197601,0.2362841
fev/1976,197602,0.2318327
mar/1976,197603,0.2267605
abr/1976,197604,0.2215
mai/1976,197605,0.2160468
jun/1976,197606,0.2098024
jul/1976,197607,0.2037905
ago/1976,197608,0.1987134
set/1976,197609,0.1933246
out/1976,197610,0.1871688
nov/1976,197611,0.1806543
dez/1976,197612,0.1753448
jan/1977,197701,0.1715546
fev/1977,197702,0.1686355
mar/1977,197703,0.165377
abr/1977,197704,0.1617105
mai/1977,197705,0.1571773
jun/1977,197706,0.1522773
jul/1977,197707,0.1473622
ago/1977,197708,0.1435295
set/1977,197709,0.140646
out/1977,197710,0.1387015
nov/1977,197711,0.1368045
dez/1977,197712,0.134791
jan/1978,197801,0.1322004
fev/1978,197802,0.1294684
mar/1978,197803,0.1265354
abr/1978,197804,0.1233559
mai/1978,197805,0.1198541
jun/1978,197806,0.1163104
jul/1978,197807,0.1129087
ago/1978,197808,0.1095557
set/1978,197809,0.1065944
out/1978,197810,0.1038814
nov/1978,197811,0.1014722
dez/1978,197812,0.0989387
jan/1979,197901,0.0964021
fev/1979,197902,0.0942734
mar/1979,197903,0.0921308
abr/1979,197904,0.0898861
mai/1979,197905,0.086641
jun/1979,197906,0.0834507
jul/1979,197907,0.0807636
ago/1979,197908,0.0786259
set/1979,197909,0.0764266
out/1979,197910,0.0734748
nov/1979,197911,0.0702525
dez/1979,197912,0.0672192
jan/1980,198001,0.0645851
fev/1980,198002,0.0619803
mar/1980,198003,0.0597686
abr/1980,198004,0.0576364
mai/1980,198005,0.0555808
jun/1980,198006,0.0537528
jul/1980,198007,0.0520858
ago/1980,198008,0.0504712
set/1980,198009,0.048905
out/1980,198010,0.0474811
nov/1980,198011,0.0460085
dez/1980,198012,0.044582
jan/1981,198101,0.0426628
fev/1981,198102,0.0406305
mar/1981,198103,0.0381509
abr/1981,198104,0.03589
mai/1981,198105,0.0338584
jun/1981,198106,0.0319418
